eta,x,y
0.5,4.358556461,507.2961373
0.5,4.512223516,489.2703863
0.5,4.679860303,471.2446352
0.5,4.861466822,458.3690987
0.5,5.001164144,458.3690987
0.5,5.182770664,458.3690987
0.5,5.40628638,453.2188841
0.5,5.545983702,453.2188841
0.5,5.685681024,453.2188841
0.5,5.881257276,453.2188841
0.5,5.979045402,453.2188841
0.5,6.104772992,453.2188841
0.5,6.21653085,437.7682403
0.5,6.454016298,417.167382
0.5,6.551804424,391.416309
0.5,6.663562282,375.9656652
0.5,6.761350407,368.2403433
0.5,6.831199069,355.3648069
0.5,6.831199069,332.1888412
0.5,6.928987194,319.3133047
0.5,7.068684517,296.1373391
0.5,7.166472643,285.8369099
0.5,7.222351572,275.5364807
0.5,7.250291036,262.6609442
0.5,7.306169965,242.0600858
0.5,7.473806752,224.0343348
0.5,7.571594878,206.0085837
0.5,7.683352736,195.7081545
0.5,7.753201397,180.2575107
0.5,7.850989523,157.0815451
0.5,7.976717113,139.055794
0.5,8.102444703,113.304721
0.5,8.228172293,113.304721
0.5,8.423748545,108.1545064
0.5,8.563445867,90.12875536
0.5,8.675203725,82.40343348
0.5,8.786961583,72.10300429
0.5,8.870779977,51.50214592
0.5,9.024447031,48.92703863
0.5,9.247962747,43.77682403
0.5,9.429569267,33.47639485
0.5,9.667054715,28.32618026
0.5,9.876600698,23.17596567
0.5,10.14202561,10.30042918
0.5,10.33760186,5.150214592
0.5,10.68684517,5.150214592
0.5,10.96623981,2.575107296
0.5,11.41327125,6.84E-13
0.7,0.078250863,6.085192698
0.7,0.234752589,12.1703854
0.7,0.313003452,34.48275862
0.7,0.273878021,58.82352941
0.7,0.293440736,91.27789047
0.7,0.332566168,107.505071
0.7,0.3716916,133.8742394
0.7,0.469505178,121.703854
0.7,0.547756041,152.1298174
0.7,0.547756041,184.5841785
0.7,0.547756041,223.1237323
0.7,0.586881473,243.4077079
0.7,0.626006904,265.7200811
0.7,0.606444189,286.0040568
0.7,0.665132336,304.2596349
0.7,0.704257768,326.5720081
0.7,0.743383199,342.7991886
0.7,0.782508631,367.1399594
0.7,0.782508631,391.4807302
0.7,0.841196778,417.8498986
0.7,0.841196778,442.1906694
0.7,0.841196778,466.5314402
0.7,0.841196778,488.8438134
0.7,0.860759494,511.1561866
0.7,0.899884925,525.3549696
0.7,0.899884925,543.6105477
0.7,1.01726122,535.4969574
0.7,1.036823936,563.8945233
0.7,1.036823936,592.2920892
0.7,1.036823936,608.5192698
0.7,1.115074799,632.8600406
0.7,1.115074799,653.1440162
0.7,1.115074799,677.484787
0.7,1.15420023,711.9675456
0.7,1.173762946,740.3651116
0.7,1.193325662,754.5638945
0.7,1.291139241,734.2799189
0.7,1.388952819,754.5638945
0.7,1.506329114,740.3651116
0.7,1.682393556,748.4787018
0.7,1.780207135,770.7910751
0.7,1.858457998,784.989858
0.7,1.936708861,811.3590264
0.7,1.975834292,770.7910751
0.7,2.093210587,742.3935091
0.7,2.151898734,722.1095335
0.7,2.230149597,703.8539554
0.7,2.288837745,711.9675456
0.7,2.386651323,687.6267748
0.7,2.367088608,659.2292089
0.7,2.464902186,634.8884381
0.7,2.601841197,616.63286
0.7,2.601841197,596.3488844
0.7,2.738780207,586.2068966
0.7,2.81703107,574.0365112
0.7,2.856156502,561.8661258
0.7,2.934407365,535.4969574
0.7,2.973532796,519.2697769
0.7,3.071346375,507.0993915
0.7,3.227848101,492.9006085
0.7,3.266973533,505.0709939
0.7,3.403912543,498.9858012
0.7,3.423475259,486.8154158
0.7,3.540851554,480.7302231
0.7,3.579976985,460.4462475
0.7,3.560414269,427.9918864
0.7,3.756041427,407.7079108
0.7,3.756041427,387.4239351
0.7,3.990794016,379.3103448
0.7,4.088607595,379.3103448
0.7,4.264672037,387.4239351
0.7,4.362485616,387.4239351
0.7,4.421173763,371.1967546
0.7,4.47986191,356.9979716
0.7,4.597238205,336.7139959
0.7,4.655926352,318.4584178
0.7,4.773302647,300.2028398
0.7,4.949367089,300.2028398
0.7,5.027617952,314.4016227
0.7,5.12543153,332.6572008
0.7,5.164556962,352.9411765
0.7,5.203682394,379.3103448
0.7,5.321058688,383.36714
0.7,5.379746835,340.7707911
0.7,5.712313003,332.6572008
0.7,5.947065593,326.5720081
0.7,6.162255466,312.3732252
